INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 19.6, 'Humidity': 70.1, 'Pressure': 1013.8, 'Gas': 7910.0, 'Status': 0.0}
INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 19.6, 'Humidity': 70.1, 'Pressure': 1013.8, 'Gas': 7922.0, 'Status': 0.0}
INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 19.6, 'Humidity': 70.1, 'Pressure': 1013.8, 'Gas': 7934.0, 'Status': 0.0}
INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 19.6, 'Humidity': 70.1, 'Pressure': 1013.8, 'Gas': 7952.0, 'Status': 0.0}
INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 19.6, 'Humidity': 70.1, 'Pressure': 1013.8, 'Gas': 7967.0, 'Status': 0.0}
INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 19.6, 'Humidity': 70.2, 'Pressure': 1013.8, 'Gas': 7985.0, 'Status': 0.0}
INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 19.6, 'Humidity': 70.2, 'Pressure': 1013.9, 'Gas': 7997.0, 'Status': 0.0}
INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 19.6, 'Humidity': 70.2, 'Pressure': 1013.9, 'Gas': 8009.0, 'Status': 0.0}
INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 19.6, 'Humidity': 70.2, 'Pressure': 1013.9, 'Gas': 8006.0, 'Status': 0.0}
INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 19.6, 'Humidity': 70.3, 'Pressure': 1013.9, 'Gas': 8034.0, 'Status': 0.0}
INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 19.6, 'Humidity': 70.3, 'Pressure': 1013.8, 'Gas': 8040.0, 'Status': 0.0}
INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 19.6, 'Humidity': 70.3, 'Pressure': 1013.8, 'Gas': 8052.0, 'Status': 0.0}
INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 19.6, 'Humidity': 70.3, 'Pressure': 1013.9, 'Gas': 8065.0, 'Status': 0.0}
INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 19.6, 'Humidity': 70.3, 'Pressure': 1013.9, 'Gas': 8068.0, 'Status': 0.0}
INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 19.6, 'Humidity': 70.3, 'Pressure': 1013.9, 'Gas': 8083.0, 'Status': 0.0}
INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 19.6, 'Humidity': 70.3, 'Pressure': 1013.9, 'Gas': 8090.0, 'Status': 0.0}
INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 19.6, 'Humidity': 70.3, 'Pressure': 1013.9, 'Gas': 8108.0, 'Status': 0.0}
INFO:root:{'IAQ_Accuracy': 2.0, 'IAQ': 500.0, 'Temperature': 19.6, 'Humidity': 70.3, 'Pressure': 1013.9, 'Gas': 8108.0, 'Status': 0.0}
