INFO:root:{'sample_nr': 12, 'timestamp': 11155415610357, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.899869918823242, 'raw_pressure': 101357.109375, 'raw_humidity': 37.975223541259766, 'raw_gas': 8664.5546875, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.837753295898438, 'humidity': 51.45833969116211, 'comp_gas_value': 4.636516094207764, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 13, 'timestamp': 11158500287951, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.901763916015625, 'raw_pressure': 101356.21875, 'raw_humidity': 37.946868896484375, 'raw_gas': 8650.259765625, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.839672088623047, 'humidity': 51.45710754394531, 'comp_gas_value': 4.637188911437988, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 14, 'timestamp': 11161584950315, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.91153907775879, 'raw_pressure': 101355.921875, 'raw_humidity': 37.953582763671875, 'raw_gas': 8700.498046875, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.849445343017578, 'humidity': 51.47557067871094, 'comp_gas_value': 4.638470649719238, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 15, 'timestamp': 11164669654515, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.91153907775879, 'raw_pressure': 101356.96875, 'raw_humidity': 37.93074417114258, 'raw_gas': 8744.025390625, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.84944725036621, 'humidity': 51.476470947265625, 'comp_gas_value': 4.6400465965271, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 16, 'timestamp': 11167755513487, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.90586280822754, 'raw_pressure': 101357.953125, 'raw_humidity': 37.918739318847656, 'raw_gas': 8707.7216796875, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.84380531311035, 'humidity': 51.49958038330078, 'comp_gas_value': 4.6405839920043945, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 17, 'timestamp': 11170840514886, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.901132583618164, 'raw_pressure': 101356.2890625, 'raw_humidity': 37.895423889160156, 'raw_gas': 8744.025390625, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.83905029296875, 'humidity': 51.49684143066406, 'comp_gas_value': 4.6415228843688965, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 18, 'timestamp': 11173924683998, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.904285430908203, 'raw_pressure': 101356.453125, 'raw_humidity': 37.87291717529297, 'raw_gas': 8751.322265625, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.842178344726562, 'humidity': 51.46916580200195, 'comp_gas_value': 4.642292022705078, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 19, 'timestamp': 11177008441349, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.905231475830078, 'raw_pressure': 101356.625, 'raw_humidity': 37.861595153808594, 'raw_gas': 8736.740234375, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.843111038208008, 'humidity': 51.46158218383789, 'comp_gas_value': 4.642605781555176, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 20, 'timestamp': 11180090914667, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.909961700439453, 'raw_pressure': 101357.7578125, 'raw_humidity': 37.85067367553711, 'raw_gas': 8780.6328125, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.847803115844727, 'humidity': 51.44333267211914, 'comp_gas_value': 4.643510341644287, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
INFO:root:{'sample_nr': 21, 'timestamp': 11183175199585, 'iaq': 25.0, 'iaq_accuracy': 0, 'static_iaq': 25.0, 'static_iaq_accuracy': 0, 'co2_equivalent': 500.0, 'co2_accuracy': 0, 'breath_voc_equivalent': 0.4999999403953552, 'breath_voc_accuracy': 0, 'raw_temperature': 24.912799835205078, 'raw_pressure': 101357.53125, 'raw_humidity': 37.84526062011719, 'raw_gas': 8751.322265625, 'stabilization_status': 0, 'run_in_status': 0, 'temperature': 19.85069465637207, 'humidity': 51.437713623046875, 'comp_gas_value': 4.643692970275879, 'comp_gas_accuracy': 0, 'gas_percentage': 0.0, 'gas_percentage_accuracy': 0}
